"ID","Text"
"miquella_fear/1miq","I must become a god."
"miquella_fear/2","Miquella, You must become a god."
"miquella_fear/3miq","I must become a god."
"miquella_fear/4","Miquella, You will become a god."
"miquella_fear/5miq","I must become a god."
"miquella_fear/6","Only in godhood, can You cleanse of your failures."
"miquella_fear/7miq","I must become a god."
"miquella_fear/8","You failed Godwyn. He does not deserve this abominable fate."
"miquella_fear/9miq","Lord brother, I am sorry. I cannot grant you true death."
"miquella_fear/10","You failed Malenia. She does not deserve the rot nor the bloom."
"miquella_fear/11miq","Sister, I am sorry. I am your true curse."
"miquella_fear/12","You failed even your own self. You do not deserve her."
"miquella_fear/13miq","Trina, my love, my only worth in me. I… I did not mean to hurt you."
"miquella_fear/14","Graceful and malign, You failed all that \n believed in You."
"miquella_fear/15miq","I am sorry. It is all my fault."
"miquella_fear/16","Miquella, No one truly loved You."
"miquella_fear/17miq","I only wish for everyone to be happy."
"miquella_fear/18","Your bewitching curse reveals your ugliness. Taking love that is not for You."
"miquella_fear/19miq","I only wish to be loved. Undeserving I may be!"
"miquella_fear/20","The truth is. Many times, You have thought your eternal adolescence is a blessing."
"miquella_fear/21","If you look ever a child, no one will dare blame You for your faults."
"miquella_fear/22miq","I... I just want to be praised. I want to believe I also have a worth."
"miquella_fear/23","But You know. You know that failure is all You are and will ever be."
"miquella_fear/24","Miquella, You are worthless. A fake prodigy embolden by false praises."
"miquella_fear/25miq","I am useless! I am a failure!"
"miquella_fear/26","Miquella, You are a disgrace. Many have suffered for your grandiose delusions."
"miquella_fear/27miq","All my faults. Everything is my Fault!"
"miquella_fear/28","Miquella, Your entirety is rotten. Taints that must be purged."
"miquella_fear/29miq","All I ever DESERVED!!!"
"miquella_fear/30","Miquella, You must right your wrongs. \n Many You sacrificed. Let the last be yourself."
"miquella_fear/31","Become a god, bring happiness to the world. \n Atone for your sins."
"miquella_fear/32miq","Haaa... Haa..."
"miquella_fear/33miq","I will be truly alone. Forver, I will be no more. I ..."
"miquella_fear/34","There is no more doubt in You. You have accepted that You do not deserve happiness."
"miquella_fear/35","And now no more to fear, only one path remains. \n An eternality of dissolution."
"miquella_fear/36","But before that. You still have the vow to fulfil, grant him the lordship You promise."
"miquella_fear/37miq","Yes..., the vow. I still must fulfil the vow. Then come my due punishments."
"miquella_fear/38miq","I hereby swear, To every living being, and every living soul."
"miquella_fear/39miq","I will bring to all the age of our Eden."
"miquella_fear/40miq","I will embrace the whole of it. All sorrows of this world. All my sins."
"miquella_fear/41miq","I will deny my heart, censure my soul, and grieve not for my foreordination."
"miquella_fear/42miq","I will exist only so all can love. I will become the vessel of compassion."
"miquella_fear/43","I am going to be a god."
"miquella_fear/44","I abandon here all of my fears."
"miquella_fear/45","Tarnished one, I implore you. Please save Miquella."
"miquella_fear/46","Grant him forgiveness, for he can no longer forgive himself."
"miquella_fear/47","O' Queen Marika. I will follow your guidance, \n as I always have."
"miquella_fear/48","Your beloved son. Kindly Miquella is no more. \n The Saint shattered. Your sorrow... justified."
"miquella_fear/49","The world may be unkind and unfair. But his gentle soul does not deserve such a cruel fate."
"miquella_fear/50","My path is set. My greatest battle awaits."
"miquella_fear/51","For this once, grant me not repose, neither in capitulation nor apostasy."
"miquella_fear/52","If the false god lay claims of my heart, pray lead me back to your grace."
"miquella_fear/53","A thousand more deaths I shall endure."
"miquella_fear/54","A thousand more failures I will embrace."
"miquella_fear/55","I will struggle unto eternity if need be."
"miquella_fear/56","I will do what must be done."
"miquella_fear/57","He will be free."
"miquella_fear/58","When the world is full of cruelty. "
"miquella_fear/59","When kindness becomes a poison. "
"miquella_fear/60","When compassion begets misery."
"miquella_fear/61","Will the lord atop the golden tower see a yellow ember gleaming."
"miquella_fear/62","From the darkest of hell."
